2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Reading cells
2018-06-28 14:32:28 [http-nio-8080-exec-5] DEBUG f.d.e.controller.ChartController - Writing data
