3583 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3586 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3588 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3592 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3594 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3598 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3600 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3604 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3607 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3609 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3611 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3612 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3614 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3618 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3620 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3626 [main] INFO  f.d.e.controller.ChartController - Equipment TestEquipment1/TestSerial1 enabled.
3630 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
3632 [main] INFO  f.d.equipmentmanager.db.ADHandler - Attempt to delete test file failed, because file already deleted. (This is normal)
